Name,Rating,Reviews,City,Price,Guests,Features
Estancia La Jolla Hotel & Spa,4.5,34,La Jolla,,"400","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
San Diego Mission Bay Resort and Spa,4.4,23,San Diego,,"", "Clean Up"
Sheraton San Diego Resort,4.9,8,San Diego,$20 000,300,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Accommodations;1 deal"
Sheraton La Jolla Hotel,4.5,10,La Jolla,$15 000,120,"Ceremony/Reception;Outdoor;Indoor;Clean Up;Bar Services"
Rancho Bernardo Inn,4.4,42,San Diego,$24 000,400,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
DoubleTree by Hilton San Diego Bayside,4.6,2,San Diego,$62,220,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Lakehouse Resort,5.0,26,San Marcos,$45 000,300,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Paradise Point Resort & Spa,4.5,36,San Diego,$29 650,300,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up;2 deals"
Horton Grand Hotel,4.7,31,San Diego,$13 300,,"Ceremony/Reception;Outdoor;Indoor;Clean Up;Bar Services"
Marriott Marquis San Diego Marina,4.0,2,San Diego,$30 000,500,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
The Dana on Mission Bay,4.9,59,San Diego,$15 500,250,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Coronado Island Marriott Resort & Spa,4.4,14,Coronado,,"400","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Island Palms Hotel & Marina,4.9,25,San Diego,,"200","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Handlery Hotel San Diego,4.5,59,San Diego,,"300","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Catamaran Resort Hotel and Spa,4.8,54,San Diego,,"","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Bahia Resort Hotel,4.5,43,San Diego,,"300","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
La Jolla Cove Rooftop by Wedgewood Weddings,4.3,24,La Jolla,,"250","Ceremony/Reception;Outdoor;Clean Up;Bar Services;Catering Services;4 deals"
Pala Mesa Resort,4.6,56,Fallbrook,$40 000,225,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
L'Auberge Del Mar,4.8,60,Del Mar,,"","Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Bar Services"
Hyatt Regency Mission Bay Spa and Marina,4.8,18,San Diego,$12 000,700,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up;1 deal"
Sycuan Casino,5.0,2,El Cajon,$6 000,700,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
La Valle Coastal Club & Resort,4.8,41,Rancho Santa Fe,$18 050,400,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up;1 deal -10% discount"
Westgate Hotel,4.9,71,San Diego,$20 900,150,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
Temecula Creek Inn,4.5,70,San Diego,$25 000,270,"Ceremony/Reception;Outdoor;Indoor;Get Ready Rooms;Clean Up"
